,en,pt,ja,sr,de,fr,pr,ro
§ui§options_menu,Options Menu,Menu de Opções,オプションメニュー,Мени опција,Optionsmenü,Menu d’Options,Meni do Opemanadoghs,Meniu de Optioni
§ui§video_options,Video,Vídeo,ビデオ,Видео,Video,Vidéo,Videi,Video
§ui§audio_options,Audio,Áudio,オーディオ,Звук,Audio,Audio,Audi,Audio
§ui§gameplay_options,Gameplay,Jogabilidade,ゲームプレイ,Играње,Gameplay,Jouabilité,Jogabilididogh,Gameplay
§op§display_mode,Display Mode,Modo de Exibição,ディスプレイモード,Режим приказа,Anzeigemodus,Mode d'affichage,Modi di Exibinadogh,Modul de afișare 
§op§vsync,VSync,VSync,VSync（垂直同期）,VSync,VSync,VSync,VSync,VSync
§op§max_fps,Max FPS,FPS Máximo,最大FPS,Макс. FPS,Max FPS,Max FPS,FPS Maxidogh,Max FPS
§op§bloom,Bloom,Bloom,ブルーム,Блум,Bloom,Bloom,Bloom,Bloom
§op§brightness,Brightness,Brilho,明るさ,Осветљеност,Helligkeit,Luminosité,Brilhidogh,Luminozitate
§op§chromatic_aberration,Chromatic Aberration,Aberração Cromática,クロマティック異常,Хроматска аберација,Chromatische Aberration,Aberration chromatique,Aberramanadogh Cromati,Aberație Cromatică
§op§unfocus_pause,Unfocus Pause,Pausar Fora de Foco,非焦点時の一時停止,Пауза без фокуса,Pause außer Fokus,Pause sans focus,Pausaw Fori di Foqui,Pauză fără focalizare
§op§master_volume,Master Volume,Volume Principal,マスターボリューム,Главни звук,Hauptlautstärke,Volume principal,Volumi Principili,Volum Principal
§op§music_volume,Music Volume,Música,音楽,Јачина музике,Musiklautstärke,Volume de la musique,Musiqui,Musică
§op§sfx_volume,SFX Volume,Efeitos Sonoros,効果音,Специјални Ефекти,SFX-Lautstärke,Effets Sonores,Efetis Sonorodogh,Efecte Sonore
§op§fov,FOV,FOV,FOV (視野角),FOV,FOV,FOV,FOV,FOV
§op§mouse_sensitivity,Mouse Sensitivity,Sensibilidade do Rato,マウス感度,Брзина миша,Mausempfindlichkeit,Sensibilité de la souris,Sensibilididogh do Rati,Sensibilitate de la Maus
§op§display_fps,Display FPS,Exibir FPS,FPSの表示,Прикажи FPS,FPS-Anzeige,Afficher FPS,Exibir FPS,Arată FPS
