,en,pt,ja,sr,de,fr
§ui§options_menu,Options Menu,Menu de Opções,オプションメニュー,Мени опција,Optionsmenü,Menu des options
§ui§video_options,Video,Vídeo,ビデオ,Видео,Video,Vidéo
§ui§audio_options,Audio,Áudio,オーディオ,Звук,Audio,Audio
§ui§gameplay_options,Gameplay,Jogabilidade,ゲームプレイ,Играње,Gameplay,Jouabilité
§op§display_mode,Display Mode,Modo de Exibição,ディスプレイモード,Режим приказа,Anzeigemodus,Mode d'affichage
§op§vsync,VSync,VSync,VSync（垂直同期）,VSync,VSync,VSync
§op§max_fps,Max FPS,FPS Máximo,最大FPS,Макс. FPS,Max FPS,Max FPS
§op§bloom,Bloom,Bloom,ブルーム,Блум,Bloom,Bloom
§op§brightness,Brightness,Brilho,明るさ,Осветљеност,Helligkeit,Luminosité
§op§chromatic_aberration,Chromatic Aberration,Aberração Cromática,クロマティック異常,Хроматска аберација,Chromatische Aberration,Aberration chromatique
§op§unfocus_pause,Unfocus Pause,Pausar Fora de Foco,非焦点時の一時停止,Пауза без фокуса,Pause außer Fokus,Pause sans mise au point
§op§master_volume,Master Volume,Volume Principal,マスターボリューム,Главни звук,Hauptlautstärke,Volume principal
§op§music_volume,Music Volume,Música,音楽ボリューム,Јачина музике,Musiklautstärke,Volume de la musique
§op§sfx_volume,SFX Volume,Efeitos Sonoros,SFX（効果音）ボリューム,Специјални Ефекти,SFX-Lautstärke,Effets Sonores
§op§fov,FOV,FOV,視野角（FOV）,FOV,FOV,FOV
§op§mouse_sensitivity,Mouse Sensitivity,Sensibilidade do Rato,マウス感度,Брзина миша,Mausempfindlichkeit,Sensibilité de la souris
§op§display_fps,Display FPS,Exibir FPS,FPSの表示,Прикажи FPS,FPS-Anzeige,Afficher FPS
§op§display_speed,Display Speed,Exibir Velocidade,速度の表示,Приказ брзине,Geschwindigkeitsanzeige,Afficher la vitesse
§op§view_bobbing,View Bobbing,Balanço da Visão,視点の揺れ,Потрес камере,View Bobbing (Blickwackeln),Hochements de tête (View Bobbing)
§op§speed_changes_fov,Speed Changes Fov,Velocidade Muda FOV,速度変更時のFOV,Промена брзине мења FOV,Geschwindigkeitsänderung FOV,Changements de vitesse modifiant le FOV
§op§sideways_camera_tilt,Sideways Camera Tilt,Inclinação Lateral da Câmera,横向きのカメラ傾斜,Косо окренута камера,Seitliche Kameraneigung,Inclinaison de la caméra latérale
§ob§windowed,Windowed,Janela,ウィンドウモード,У прозору,Fenstermodus,En fenêtré
§ob§fullscreen,Fullscreen,Ecrã Inteiro,フルスクリーン,Цео екран,Vollbild,Plein écran
§ob§max,MAX,MAX,最大,МАКС,MAX,MAX
